Term,Definition,# of mentions in the frameworks
Live Evaluation,"The process of automatically scoring AI outputs in real-time as agents and workflows operate, providing continuous quality monitoring.",1
Sampling Control,"A parameter (0-1) that controls what percentage of outputs get scored: 1.0 for every single response, 0.5 for half of all responses, 0.1 for 10% of responses, and 0.0 to disable scoring.",1
Automatic Storage,"The process by which all scoring results are automatically stored in the mastra_scorers table in your configured database, allowing you to analyze performance trends over time.",1
Trace Evaluation,"The process of using scorers to evaluate historical traces from agent interactions and workflows, particularly useful for analyzing past performance, debugging issues, or running batch evaluations.",1
Engines,"Natural language interfaces that provide access to data for LLMs. Engines include query engines, chat engines, and agents, which enable various interaction patterns with the LLM.",1
ChatDocument,"A data structure representing a conversation or message exchange between an agent and its environment. ChatDocuments contain metadata about the interaction, such as the sender, recipient, and content.",1
Chroma,A vector-store library supported by Langroid for storing and retrieving high-dimensional embeddings.,1
Output Processor,"An output processor is applied after the language model generates a response but before it is returned to the user. It's useful for response optimization, moderation, transformation, and applying safety controls.",1
Input Processor,"An input processor is applied before user messages reach the language model. It's useful for normalization, validation, content moderation, prompt injection detection, and security checks.",1
Prompt Injection Detector,"A prompt injection detector is an input processor that scans user messages for prompt injection, jailbreak attempts, and system override patterns to prevent malicious activity.",1
Guardrail,"A guardrail is a mechanism that applies rules or transformations to inputs and outputs of an agent to ensure security, compliance, or quality standards.",1
Batch Parts Processor,"A batch parts processor is an output processor that combines multiple stream parts before emitting them to the client, reducing network overhead and improving the user experience.",1
Token Limiter Processor,A token limiter processor is an output processor that limits the number of tokens in model responses to manage cost and performance by truncating or blocking messages when the limit is exceeded.,1
System Prompt Scrubber,A system prompt scrubber is an output processor that detects and redacts system prompts or other internal instructions from model responses to prevent unintended disclosure of prompt content or configuration details.,1
Moderation Processor,A moderation processor is an input processor that detects and flags inappropriate content in user messages based on predefined categories and thresholds.,1
AI SDK UI,"A user interface component library for building interactive chat experiences, providing tools for rendering conversation history, prompts, and responses in a visually appealing manner.",1
AI Elements,"A set of reusable UI components for building conversational interfaces, including tools for displaying conversation history, prompts, and responses, as well as input fields for user interaction.",1
DefaultChatTransport,"A transport mechanism for handling chat interactions between the client and server, enabling the streaming of agent responses in AI SDK format.",1
ToolUIPart,"A UI component representing a tool invocation within a conversation, displaying input fields, output text, and error messages to facilitate user interaction with external APIs or databases.",1
SELA,"The core framework for building and managing AI agent systems, providing a structured approach to developing autonomous software entities.",1
Datasets,"Collections of data used to train, evaluate, or fine-tune agents. Datasets can be pre-existing or generated on-the-fly by the agent.",1
Pipeline,"A sequence of operations that an agent performs on input data, often involving multiple tools and workflows. Pipelines enable efficient processing and transformation of data.",1
Language Detector,A language detector is an input processor that detects the language of user messages and translates them into a target language if necessary.,1
Task Decomposition,"The process of breaking down complex tasks into simpler ones, allowing agents to tackle them more efficiently and effectively.",1
Graph,"A data structure representing a network of nodes and edges, used in Pocket Flow to model the LLM workflow and enable agent interactions.",1
Shared Store,"A mechanism that enables communication between nodes within flows, allowing agents to share information and coordinate their actions.",1
Node,"A basic unit of computation in Pocket Flow, representing a simple task or operation that can be performed by an agent.",1
Batch Node,"A type of node that allows for data-intensive tasks to be performed in batches, enabling agents to process large amounts of data efficiently.",1
Async Node,"A type of node that enables waiting for asynchronous tasks to complete, allowing agents to perform tasks that require external input or processing.",1
Parallel Node,"A type of node that handles I/O-bound tasks in parallel, enabling agents to perform multiple tasks simultaneously and improve overall efficiency.",1
Tool Call Tracking,"The mechanism by which the CLI displays which tools were called during agent execution, providing insight into tool usage and performance.",1
Autonomy Modes,"A set of modes that control AI autonomy, including suggest, auto_edit, and full_auto. Autonomy modes determine how agents interact with users and perform tasks.",1
Cost Tracking,"The mechanism by which the CLI monitors and displays real-time token usage and cost metrics for agent execution, enabling users to optimize performance and budget.",1
Repository Map,"A feature that enables intelligent codebase mapping with tree-sitter, allowing agents to navigate and interact with project repositories more effectively.",1
Interactive TUI,A rich terminal interface with completions that provides users with a interactive way to control agent execution and explore features.,1
Message Queue,"A mechanism by which agents can queue messages while processing, ensuring efficient handling of concurrent tasks and improving overall performance.",1
Observability,"A requirement for scoring traces, which involves configuring Mastra to collect trace data. See Tracing documentation for setup instructions.",1
Workflows,"An event-driven, async-first workflow engine that orchestrates multi-step AI processes, agents, and document pipelines with precision and control.",1
LanceDB,A vector-store library supported by Langroid for storing and retrieving high-dimensional embeddings.,1
All CLI Features,"The comprehensive set of features and flags available in the CLI, including direct prompt execution, tool tracking, autonomy modes, cost tracking, and more.",1
Sandbox Execution,A secure isolated command execution environment that protects against potential security risks and ensures safe testing of agents and tools.,1
Git Integration,"The feature that enables auto-commit with AI messages and diff viewing, allowing users to seamlessly integrate agent-generated content with their version control systems.",1
Deep Research,"A feature that enables automated multi-step research with citations, allowing agents to perform complex information retrieval tasks efficiently and accurately.",1
Auto-Save,"The feature that enables automatic saving of sessions with a specified name, ensuring easy recovery and management of agent-generated content.",1
History,"The mechanism by which agents can load history from the last N sessions, allowing users to track progress and optimize performance over time.",1
Claude Memory Tool,"A specialized tool (Anthropic only) that enables Claude Memory functionality, providing agents with advanced memory management capabilities.",1
User ID,A unique identifier used to isolate memories and ensure secure storage of sensitive information.,1
Web & Search,"The feature that enables native web search, web fetch for URLs, deep research on topics, and query rewriting, allowing agents to interact with external resources efficiently.",1
Tools & Extensions,"A set of features that enable loading additional tools, using MCP servers, and delegating tasks between agents, among other capabilities.",1
Context & Prompts,"A set of features that enable adding code context from paths, reading input from files, specifying repository URLs, and expanding short prompts into detailed ones, among other capabilities.",1
Monitoring & Display,"The feature that enables monitoring and displaying real-time metrics for agent execution, including token usage, cost, and performance indicators.",1
SupportDependencies,A dataclass representing the dependencies required by a support agent in the bank example. SupportDependencies encapsulate customer information and database connections necessary for providing customer support.,1
RunContext,"A data structure containing the context and dependencies required by an agent during execution. RunContexts provide a way to pass complex data structures between tools, instructions, and other components of the agent framework.",1
SupportOutput,"A Pydantic model defining the output structure of a support agent's response. SupportOutput includes fields for advice, block card status, and risk level, enabling structured data exchange between agents and external systems.",1
Function,"A unit of code within a plugin that performs a specific operation, often annotated with semantic descriptions for the AI to understand its behavior.",1
Semantic Description,"A detailed description of how a function behaves, including input, output, and side effects, allowing the AI to correctly call the function.",1
KernelFunction,"An attribute used in Semantic Kernel to annotate methods within a plugin class, indicating that they can be called by an AI or referenced in a prompt.",1
MCP Server,"A server that allows other applications to consume plugins as a service, enabling cross-platform sharing and reuse of plugin functionality.",1
RAG (Retrieval Augmented Generation),"A technique used in retrieval functions, where data is retrieved from external sources to augment the generation process, often improving performance and accuracy.",1
Task Automation,"The use of plugins to automate tasks, often involving human-in-the-loop approval processes to ensure task completion correctness.",1
Kernel,"The core component of the Semantic Kernel framework, responsible for managing agent interactions, executing tasks, and providing services to agents. The kernel acts as a central hub for agent communication and coordination.",1
Service,"A reusable function or module that provides specific capabilities or functionality to agents within the kernel. Services can be used to perform tasks such as chat completion, planning, or data retrieval.",1
ChatCompletion,A service provided by the kernel for generating human-like responses to user input. Chat completion services use AI models to generate text based on context and conversation history.,1
CodeAgent,"A type of agent that writes its actions as Python code snippets, allowing for more efficient and higher-performing execution compared to traditional LLM output.",1
ToolCallingAgent,"A standard agent that writes actions as JSON/text blobs, providing a sandboxed environment using Blaxel, E2B, or Docker to mitigate security risks.",1
LiteLLMModel,"A model that provides access to 100+ LLMs via a unified interface, allowing for easy switching between different models and providers without modifying code.",1
InferenceClientModel,"A gateway for all inference providers supported on Hugging Face, enabling seamless integration with various models and services while maintaining framework-agnosticism.",1
Code Agent,"A type of agent that writes its actions in code to invoke tools or perform computations, enabling natural composability (function nesting, loops, conditionals).",1
Tool Calling Agent,An agent that supports usual JSON/text-based tool-calling for scenarios where that paradigm is preferred.,1
Modal,"A sandboxed environment for executing agents securely, providing isolation and protection from external threats.",1
Blaxel,"A sandboxed environment for executing agents securely, providing isolation and protection from external threats.",1
E2B,"A sandboxed environment for executing agents securely, providing isolation and protection from external threats.",1
Docker,A containerization platform that enables secure execution of agents in isolated environments.,1
Model Context Protocol (MCP),A standardized interface allowing agents to interact with external tools and access real-world data beyond their language capabilities through STDIO or SSE MCP servers.,1
