Term,Definition,# of mentions in the frameworks
Context Sharing,"A mechanism by which AI agents share information about their environment, goals, or state with other agents in the crew. Context sharing enables coordinated action among team members.",1
Reasoning,"The ability of an AI agent to reflect on its current task objective, create and refine a structured plan to execute it, and inject the plan into the task description.",1
AMP (SaaS),"A cloud-based deployment option for CrewAI, offering zero installation requirements, automatic updates, and managed infrastructure and scaling.",1
ConversationalAgent,"An agent that can engage in multi-turn conversations with users, leveraging LLMs for text generation and responding to user inputs. Conversational agents maintain context and adapt to user queries.",1
OpenAIFunctionsAgent,"An agent that leverages OpenAI models and supports function calling, enabling users to interact with LLMs in a more direct manner. OpenAIFunctionsAgents can perform complex tasks by invoking OpenAI functions.",1
BufferMemory,"A simple memory tracking system for conversation history and tools' outputs, allowing agents to maintain context and recall previous interactions.",1
WorkflowEvaluation,"A framework for evaluating generative agents' performance under different user scenarios. Workflow evaluations involve simulated conversations between the agent and LLM-simulated test users, enabling easy addition of test cases for new user scenarios and fast evaluation.",1
Telegram,A messaging platform used by the Telegram agent to interact with users and perform tasks such as sending messages and receiving updates.,1
LLM (Language Model),"A specialized AI model expertly tailored to excel in distinct aspects of projects, such as text generation, translation, or question-answering. LLMs are integrated into agents to optimize AI solutions for accurate and efficient outcomes.",1
workflowLogs,"Records all significant events and changes in the workflow's status, invaluable for debugging, auditing, and understanding the sequence of operations within the store.",1
workflowContext,"A deprecated attribute that stored essential context or metadata from the workflow execution, now dynamically derived from the workflowLogs array.",1
tasks,"Contains all tasks assigned to the team, each managed according to the workflow defined by the team's operational rules.",1
agents,"An array listing the agents involved in the team, detailing their roles and responsibilities within the workflow and current status.",1
workflowResult,"Stores the final result or output of the workflow once it has completed, particularly useful for retrieving the outcome of all tasks processing.",1
Workflow Status,"An attribute indicating the current state of the team's workflow process, transitioning through various statuses reflecting different phases of the workflow lifecycle.",1
State Management,"The method by which software keeps track of changes in an application's state over time, ensuring predictable responses to user inputs and internal changes.",1
Team Store,"A specialized component in KaibanJS that manages the state and workflows of agents and tasks within a team, ensuring seamless operation and efficient data flow.",1
LLM-Friendly Documentation,"Documentation formatted in a way that's optimized for large language models (LLMs) and can be easily integrated with AI coding assistants, IDEs, or LLM tools.",1
ToolMessage,A type of message that an agent can send to an LLM to invoke a specific tool or function. ToolMessages are used to extend the agent's capabilities beyond language generation.,1
OpenAI Tool Call,"A specific type of tool call made by an agent to an OpenAI API. OpenAI tool calls enable agents to access external APIs and services, such as text generation or image processing.",1
Chroma,A vector-store library supported by Langroid for storing and retrieving high-dimensional embeddings.,1
Model Provider,"A service that offers access to various language models (LLMs), enabling developers to integrate multiple models into their projects. Model providers manage API keys, model selection, and configuration for seamless integration with agents.",1
Workflows,"An event-driven, async-first workflow engine that orchestrates multi-step AI processes, agents, and document pipelines with precision and control.",1
LlamaCloud,"A cloud-based platform that powers enterprise-grade document automation with industry-best parsing, extraction, indexing, and retrieval — optimized for accuracy, configurability, and scalability.",1
Context Augmentation,"The process of making data available to LLMs to solve problems at hand. Context augmentation involves ingesting, parsing, indexing, and processing data to enable stateful behavior in agents.",1
Schema-Based Extraction,A method for extracting structured information from documents based on predefined schemas or templates. Schema-based extraction enables agents to extract relevant data points with high accuracy and precision.,1
Document Parsing,"The process of extracting structured information from unstructured documents. Document parsing involves identifying and extracting relevant data points, such as tables, images, and text, from complex layouts and formats.",1
Workflow Engine,"A system that manages the execution of workflows, including tasks, agents, and document pipelines. Workflow engines provide a flexible way to orchestrate complex AI processes.",1
Engines,"Natural language interfaces that provide access to data, enabling agents to query and retrieve relevant information. Engines include query engines, chat engines, and agents, each with its own capabilities and use cases.",1
Observability/Evaluation Integrations,"Tools that enable rigorous experimentation, evaluation, and monitoring of AI agent applications. These integrations facilitate a virtuous cycle of improvement and refinement in agent development.",1
Data Indexes,Mechanisms that structure data in intermediate representations easy for LLMs to consume. Data indexes enable efficient querying and retrieval of relevant information from large datasets.,1
Data Connectors,"Tools that ingest existing data from its native source and format, making it available for LLMs to consume. Data connectors handle various data types, including APIs, PDFs, SQL databases, and more.",1
semtools,"A semantic analysis toolkit that provides advanced text understanding and processing capabilities. semtools enables agents to analyze and reason about complex texts, including documents, articles, and books.",1
Vibe-llama,"A multimodal RAG framework for processing videos, images, and audio. Vibe-llama enables agents to understand and interact with multimedia content in a more comprehensive and accurate manner.",1
Create Llama,"A CLI tool for quickly scaffolding new LlamaIndex applications. Create Llama provides a streamlined process for building and deploying multi-agent systems, reducing development time and effort.",1
Evals,"Evaluation methods used to assess the performance and accuracy of AI agents. Evals in Mastra include model-graded, rule-based, and statistical methods for evaluating agent output.",1
Scorer,"An automated test that evaluates AI outputs using model-graded, rule-based, and statistical methods. Scorers return scores quantifying how well an output meets evaluation criteria.",1
LanceDB,A vector-store library supported by Langroid for storing and retrieving high-dimensional embeddings.,1
Vector-Store,A specialized database that stores high-dimensional embeddings for semantic similarity search. Vector-stores enable agents to retrieve relevant information based on meaning rather than exact keyword matches.,1
llmConfig,"A configuration object used to specify the LLM provider, model, and API key for each agent. This configuration enables agents to utilize specific models tailored to their tasks and goals.",1
Prompt Engineering Scorer,A type of scorer used to explore the impact of different instructions and input formats on agent outputs.,1
Classification Scorer,A type of scorer that measures accuracy in categorizing data based on predefined categories.,1
Textual Scorer,"A type of scorer that evaluates accuracy, reliability, and context understanding of agent responses.",1
Live Evaluation,"An asynchronous process where scorers run in the background, evaluating AI outputs in real-time without blocking agent responses or workflow execution.",1
Observability,The process of collecting trace data to enable scoring of historical traces. Requires configuration in your Mastra instance.,1
Processor,"A utility or function that an agent can invoke to perform specific operations, such as input and output processing.",1
Automatic Storage,The process where all scoring results are automatically stored in the mastra_scorers table in your configured database for analysis and performance tracking over time.,1
Sampling Control,"A parameter (0-1) that controls what percentage of outputs get scored. A value of 1 scores every single response, while a value of 0 disables scoring.",1
Output Processor,"An output processor is applied after the language model generates a response but before it is returned to the user. It's useful for response optimization, moderation, transformation, and applying safety controls.",1
Moderation Processor,A moderation processor is an input processor that detects and flags inappropriate content in user messages based on predefined categories and thresholds.,1
Prompt Injection Detector,"A prompt injection detector is an input processor that scans user messages for prompt injection, jailbreak attempts, and system override patterns to prevent malicious activity.",1
Language Detector,A language detector is an input processor that detects the language of user messages and translates them into a target language if necessary.,1
Batch Parts Processor,"A batch parts processor is an output processor that combines multiple stream parts before emitting them to the client, reducing network overhead and improving the user experience.",1
Token Limiter Processor,A token limiter processor is an output processor that limits the number of tokens in model responses to manage cost and performance by truncating or blocking messages when the limit is exceeded.,1
Input Processor,"An input processor is applied before user messages reach the language model. It's useful for normalization, validation, content moderation, prompt injection detection, and security checks.",1
Trace Evaluation,"A method of evaluating historical traces from agent interactions and workflows, useful for analyzing past performance, debugging issues, or running batch evaluations.",1
AI SDK UI,"A user interface component library for building interactive chat experiences, providing tools for rendering conversation history, prompts, and responses in a visually appealing manner.",1
System Prompt Scrubber,A system prompt scrubber is an output processor that detects and redacts system prompts or other internal instructions from model responses to prevent unintended disclosure of prompt content or configuration details.,1
ToolUIPart,"A UI component representing a tool or function invoked by an agent to perform specific operations, displaying input fields, output results, and error messages as needed.",1
AI Elements,"A set of reusable UI components for building conversational interfaces, including tools for displaying conversation history, prompts, and responses, as well as input fields for user interaction.",1
Role,A specific function or responsibility assigned to an agent within a multi-agent system. Roles define the tasks and interactions each agent is expected to perform.,1
SELA,"The core framework for building and managing AI agent systems, providing a structured approach to developing autonomous software entities.",1
Datasets,"Collections of data used to train, evaluate, or fine-tune agents. Datasets can be pre-existing or generated on-the-fly by the agent.",1
DefaultChatTransport,"A transport mechanism for handling chat interactions between the client and server, enabling the streaming of agent responses in AI SDK format.",1
Task Decomposition,"The process of breaking down complex tasks into smaller, manageable sub-tasks that can be executed by individual agents or workflows.",1
Graph,"A data structure representing the LLM workflow as a network of nodes and edges, enabling the modeling of complex interactions between agents and tasks.",1
Shared Store,"A mechanism that enables communication between nodes within flows, allowing agents to share information and coordinate their actions.",1
Node,"A basic unit in the graph abstraction, representing a simple task or operation that can be executed by an agent.",1
Batch Node/Flow,"A type of node or flow that allows for data-intensive tasks to be executed efficiently, enabling agents to process large amounts of data.",1
Async Node/Flow,"A type of node or flow that enables waiting for asynchronous tasks to complete, allowing agents to execute tasks concurrently and improve overall efficiency.",1
ChatDocument,"A data structure representing a conversation or message exchange between an agent and its environment. ChatDocuments contain metadata about the interaction, such as the sender, recipient, and content.",1
Redis,A caching system used by Langroid to store and retrieve cached LLM prompts and responses.,1
Tool Call Tracking,The mechanism by which the CLI displays which tools were called during agent execution.,1
Parallel Node/Flow,"A type of node or flow that handles I/O-bound tasks efficiently, enabling agents to perform multiple tasks simultaneously and improve overall throughput.",1
Autonomy Modes,"Control AI autonomy: suggest, auto_edit, full_auto. Autonomy modes determine how agents interact with their environment and make decisions.",1
Cost Tracking,Real-time token usage and cost monitoring. Cost tracking enables developers to monitor the financial implications of agent execution.,1
Message Queue,Queue messages while agent is processing. Message queues enable agents to handle multiple tasks concurrently and manage communication between components.,1
Git Integration,"Auto-commit with AI messages, diff viewing. Git integration enables agents to interact with version control systems and collaborate on code development.",1
Repository Map,Intelligent codebase mapping with tree-sitter. Repository maps enable agents to understand project structure and navigate codebases more effectively.,1
Interactive TUI,Rich terminal interface with completions. Interactive TUIs provide a user-friendly interface for interacting with agents and their outputs.,1
Claude Memory,Anthropic’s memory tool integration. Claude Memory enables agents to access and manage knowledge bases using Anthropic's memory tool.,1
Planning & Memory,"Enable planning mode, tools for planning phase, chain-of-thought in planning, auto-approve generated plans, file-based memory, auto extract memories, Claude Memory Tool (Anthropic only). Planning and memory enable agents to plan and execute tasks more effectively.",1
Tools & Extensions,"Load additional tools, use MCP server, MCP environment variables, agent delegation, final agent for multi-agent tasks. Tools and extensions provide a way to customize and extend agent capabilities.",1
Web & Search,"Enable native web search, enable web fetch for URLs, run deep research on topic, rewrite query for better results. Web and search enable agents to interact with the internet and retrieve information more effectively.",1
Context & Prompts,"Add code context from path, read input from file, repository URL for context, goal for context engineering, automatic analysis, expand short prompt to detailed. Context and prompts enable agents to understand project structure and generate more effective prompts.",1
Monitoring & Display,"Real-time token usage and cost monitoring, maximum tokens for response, load history from last N sessions, display agent panels with verbose output. Monitoring and display provide a way to track agent performance and interact with their outputs.",1
Sandbox Execution,Secure isolated command execution. Sandbox execution provides a safe environment for testing and executing agent tasks without compromising the host system.,1
All CLI Features,"Deep Research, Automated multi-step research with citations. All CLI features provide a comprehensive set of tools for building and interacting with agents.",1
SupportDependencies,"A data class representing the dependencies required by a support agent, including customer ID and database connection.",1
RunContext,"A data structure containing the context and dependencies required for an agent's execution, including input parameters, tool configurations, and output types.",1
ToolApproval,"A mechanism allowing agents to flag tool calls that require human approval before execution, based on conversation history, user preferences, or other factors.",1
SupportOutput,"A data model defining the structure of the output generated by a support agent, including advice, block card status, and risk level.",1
DurableExecution,"A feature enabling agents to preserve their progress across transient API failures and application errors or restarts, ensuring production-grade reliability for long-running workflows.",1
Function,"A unit of code within a plugin that performs a specific operation, often with semantic descriptions describing its input, output, and side effects.",1
Semantic Description,"A detailed description of how a function behaves, including its input, output, and side effects, used by the AI to understand and call the function correctly.",1
KernelFunction,"An attribute that annotates methods within a plugin class, indicating to Semantic Kernel that these functions can be called by an AI or referenced in a prompt.",1
MCP Server,"A server that hosts a collection of plugins, allowing other applications to consume these plugins as a service and access their functionality.",1
RAG (Retrieval Augmented Generation),"A technique used in retrieval functions, where data is retrieved from external sources and then used for generation tasks, often with strategies to improve performance such as caching and using cheaper intermediate models.",1
